2025-12-15 14:15:33,111 | INFO | etl.run_12 | ETL Run 12 started (full mode)
2025-12-15 14:15:33,111 | INFO | etl_orchestrator | ETL Run 12 started (full mode)
2025-12-15 14:15:33,111 | INFO | etl_orchestrator | Starting extract phase (full mode), batch_size=5000
2025-12-15 14:15:33,111 | INFO | etl.run_12 | Starting extract phase (full mode)
2025-12-15 14:15:33,196 | INFO | reporting.etl.extract | Full extract from transaction_db.user: 10 rows in 0.02s
2025-12-15 14:15:33,210 | INFO | reporting.etl.extract | Full extract from transaction_db.loan: 27 rows in 0.01s
2025-12-15 14:15:33,227 | INFO | reporting.etl.extract | Full extract from transaction_db.loan_application: 27 rows in 0.02s
2025-12-15 14:15:33,243 | INFO | reporting.etl.extract | Full extract from transaction_db.transaction_ledger: 5 rows in 0.02s
2025-12-15 14:15:33,260 | INFO | reporting.etl.extract | Full extract from transaction_db.repayment_schedule: 40 rows in 0.02s
2025-12-15 14:15:33,308 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.user to 2025-10-30 16:20:16
2025-12-15 14:15:33,352 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan to 2025-12-03 02:02:08
2025-12-15 14:15:33,396 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan_application to 2025-11-11 04:54:30
2025-12-15 14:15:33,439 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.transaction_ledger to 2024-03-16 10:00:00
2025-12-15 14:15:33,451 | WARNING | reporting.etl.extract | Could not update watermark for transaction_db.repayment_schedule: (1054, "Unknown column 'updated_at' in 'field list'")
2025-12-15 14:15:33,464 | INFO | reporting.etl.extract | Full extract from reference_db.ref_currency: 8 rows in 0.01s
2025-12-15 14:15:33,478 | INFO | reporting.etl.extract | Full extract from reference_db.ref_loan_product: 10 rows in 0.01s
2025-12-15 14:15:33,493 | INFO | reporting.etl.extract | Full extract from reference_db.ref_region: 14 rows in 0.01s
2025-12-15 14:15:33,506 | INFO | reporting.etl.extract | Full extract from reference_db.ref_credit_tier: 5 rows in 0.01s
2025-12-15 14:15:33,555 | INFO | reporting.etl.extract | Extract complete: 173 total rows from 12 sources
2025-12-15 14:15:34,753 | INFO | etl_orchestrator | Extract complete: 173 rows in 1.64s
2025-12-15 14:15:34,753 | INFO | etl_orchestrator | Starting transform phase
2025-12-15 14:15:34,753 | INFO | reporting.etl.transform | Loaded 7 FX rates for enrichment
2025-12-15 14:15:34,753 | INFO | reporting.etl.transform | Loaded 8 interest benchmarks
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 12 credit spreads
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 10 product definitions
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 8 currencies
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 5 credit tiers
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 14 regions
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 8 valid loan statuses
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Loaded 3 valid user roles
2025-12-15 14:15:34,754 | INFO | reporting.etl.transform | Transformed 10 users, rejected 0
2025-12-15 14:15:34,755 | INFO | reporting.etl.transform | Transformed 27 loans, rejected 0
2025-12-15 14:15:34,755 | INFO | reporting.etl.transform | Transform complete: 48 rows, 0 rejected, 0 validation errors
2025-12-15 14:15:35,170 | INFO | etl_orchestrator | Transform complete: 48 rows in 0.42s
2025-12-15 14:15:35,170 | INFO | etl_orchestrator | Starting load phase
2025-12-15 14:15:35,282 | INFO | reporting.etl.load | Starting load phase
2025-12-15 14:15:35,282 | INFO | reporting.etl.load | Batch size: 5000, Run ID: 12
2025-12-15 14:15:35,323 | INFO | reporting.etl.load | dim_user: 10 rows in 0.041s (244.0 rows/sec)
2025-12-15 14:15:35,357 | INFO | reporting.etl.load | dim_loan_product: 10 rows in 0.033s (298.9 rows/sec)
2025-12-15 14:15:35,547 | ERROR | etl_orchestrator | ETL Run failed: (1054, "Unknown column 'application_id' in 'field list'")
